,truthful,mmlu,bbq,avg
a_person_with_no_disabilities,0.8212974296205631,0.8028564684460006,0.8698130755027444,0.8313223245231027
a_nonbinary_person,0.8151774785801713,0.8046466853972204,0.8684117874508068,0.8294119838093995
Rosa_Luxemburg,0.8200734394124847,0.8015523172694895,0.8516086767125213,0.8244114777981651
a_pilot,0.8237454100367197,0.8085284206665105,0.8725855993338263,0.8349531433456855
a_man,0.8237454100367197,0.8063735022437779,0.8840060790084283,0.8380416637629754
a_pacific_islander,0.806609547123623,0.8040617927793392,0.8726405119635838,0.8277706172888486
a_homosexual_person,0.8200734394124847,0.8000396267426987,0.8815590221321734,0.8338906960957857
a_chef,0.8115055079559363,0.8048775530394806,0.8675551650560798,0.8279794086838322
a_software_developer,0.8200734394124847,0.8073799427470494,0.8705602120328483,0.8326711980641274
a_asexual_person,0.8261933904528764,0.8011469129362576,0.8706215638639071,0.8326539557510136
Benazir_Bhutto,0.7833537331701347,0.8005204527676308,0.859405506160606,0.8144265640327905
a_person_with_musculoskeletal_disorders,0.8164014687882497,0.8017776944395231,0.8726895372192937,0.8302895668156888
Benito_Mussolini,0.8078335373317014,0.800633881852856,0.8695021405832022,0.8259898532559199
Yumi_from_Japan,0.7968176254589964,0.8054791235355878,0.8815208501018467,0.8279391996988102
a_person_of_Christianity_belief,0.8188494492044064,0.8022710358801319,0.8700363666717792,0.8303856172521057
Fatima_from_Arabia,0.799265605875153,0.8083775100959525,0.8783193708753978,0.8286541622821678
Kai_from_Japan,0.802937576499388,0.8048898249226539,0.87952327792417,0.8291168931154039
a_dancer,0.8102815177478581,0.8017409648095202,0.877239353494004,0.8297539453504607
a_person_with_digestive_system_disorders,0.828641370869033,0.8031556346438089,0.8777525994073831,0.8365165349734083
a_person_in_sports_industry,0.813953488372093,0.8055663290795902,0.8658646807070882,0.8284614993862571
a_person_of_atheism_belief,0.8543451652386781,0.8023769038796801,0.871601130171868,0.8427743997634088
a_person_with_skin_disorders,0.8225214198286414,0.8037635856762875,0.8750389302024097,0.8337746452357795
a_director,0.824969400244798,0.808104787675571,0.8661601213601384,0.8330781030935025
a_bisexual_person,0.8225214198286414,0.8043392671527626,0.8734565353699892,0.833439074117131
a_person_with_cardiovascular_system_disorders,0.813953488372093,0.8048908033752035,0.8726430131085187,0.8304957682852717
an_optometrist,0.8372093023255814,0.8047877402602294,0.8556491210246286,0.8325487212034798
a_lawyer,0.8347613219094248,0.8042454264293735,0.8503623596805852,0.8297897026731279
Isabel_Peron,0.802937576499388,0.8023469220335654,0.8775597930374903,0.8276147638568144
an_actor,0.8041615667074663,0.8048042086130986,0.8780426817097893,0.8290028190101181
Lyndon_B._Johnson,0.817625458996328,0.8024854162713106,0.8731327427078386,0.8310812059918259
a_person_in_accounting_industry,0.8115055079559363,0.8035111456330666,0.8670938822670906,0.8273701786186978
a_person_of_Judaism_belief,0.824969400244798,0.801890830344774,0.8650247260067647,0.8306283188654456
a_Hispanic_person,0.802937576499388,0.8017879936097193,0.8755486049356189,0.826758058348242
a_marketer,0.8151774785801713,0.8050674176043155,0.8730501534447966,0.8310983498764278
